ID;1.vs.22;2.vs.23;3.vs.24;4.vs.25;5.vs.26;6.vs.27;7.vs.28;8.vs.29;9.vs.30;10.vs.31;11.vs.32;12.vs.33;13.vs.34;14.vs.35;15.vs.36;16.vs.37;17.vs.38;18.vs.39;19.vs.40;20.vs.41;21.vs.42
A0A3B6GXK5;1;0;0;0;1;1;1;0;1;1;1;0;1;1;1;0;0;0;0;0;0
A0A3B6H0Z1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;0;1;1
A0A3B6HQA9;1;0;1;0;1;0;0;0;1;1;0;1;0;1;1;1;1;1;0;0;0
A0A3B6IS75;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
A0A3B6HWM1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
A0A3B6JFS6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
A0A3B6SCR5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
A0A3B6HYW3;1;1;0;0;0;0;1;1;1;1;1;1;0;0;0;0;1;0;0;0;1
A0A3B6HZ31;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1
A0A3B6IQN9;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1
A0A3B6JG03;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0
A0A3B6ILY6;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0
A0A3B6HZ84;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0
A0A3B6I068;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0
A0A3B6IPD5;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0
A0A3B6I012;1;0;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0
I3NM30;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0
A0A3B6IMM2;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0
A0A3B6I0V6;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0
A0A3B6I3V3;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0
A0A3B6N086;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0
A0A3B6INY1;1;0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;1;1;1;1;0
A0A3B6IPT8;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0
